x	y	z	timestamp
5.2	-0.2	9.8	1688679779532
4.6	-1.3	9.7	1688679779552
3.2	-1.3	9.2	1688679779572
1.5	-0.1	9.2	1688679779592
1.2	0.5	8.8	1688679779612
1.7	0.6	9.2	1688679779632
2.3	0.3	9.3	1688679779652
2.6	0.1	9.3	1688679779672
2.3	0.4	9.0	1688679779692
1.8	0.2	8.8	1688679779712
1.6	0.5	9.2	1688679779732
1.9	0.1	9.0	1688679779752
2.3	0.4	9.1	1688679779772
2.2	0.2	9.1	1688679779792
2.0	0.2	9.2	1688679779812
2.0	0.3	8.9	1688679779832
2.0	0.1	9.0	1688679779852
2.2	0.1	9.0	1688679779872
2.3	-0.1	9.0	1688679779892
2.2	0.3	9.3	1688679779912
2.0	0.1	8.9	1688679779932
2.2	-0.0	9.1	1688679779952
2.2	0.2	9.0	1688679779972
2.2	0.2	9.2	1688679779992
2.0	0.3	9.5	1688679780012
2.2	0.1	9.2	1688679780032
2.3	0.2	9.0	1688679780052
2.1	0.2	9.3	1688679780072
2.2	-0.1	9.4	1688679780092
2.1	0.1	9.3	1688679780112
2.2	-0.2	9.3	1688679780132
2.2	0.1	9.3	1688679780152
2.3	-0.0	9.2	1688679780172
2.1	-0.0	9.1	1688679780192
2.2	0.0	9.3	1688679780212
2.2	0.0	9.3	1688679780232
2.2	-0.2	9.3	1688679780252
2.1	0.2	9.2	1688679780272
2.1	-0.0	9.0	1688679780292
2.2	-0.2	9.1	1688679780312
2.1	-0.2	9.0	1688679780332
2.2	-0.1	9.2	1688679780352
2.1	-0.3	9.1	1688679780372
2.0	-0.3	9.2	1688679780392
2.2	-0.1	9.0	1688679780412
2.3	-0.3	9.0	1688679780432
2.2	-0.3	9.1	1688679780452
2.1	-0.4	9.2	1688679780472
2.3	-0.1	9.2	1688679780492
2.1	-0.3	9.2	1688679780512
2.1	-0.3	9.1	1688679780532
2.2	-0.2	9.0	1688679780552
2.2	-0.3	8.9	1688679780572
2.0	-0.3	8.9	1688679780592
2.2	-0.2	9.0	1688679780612
2.2	-0.2	8.8	1688679780632
2.2	-0.5	9.0	1688679780652
2.2	-0.2	9.0	1688679780672
2.3	-0.6	8.7	1688679780692
2.2	-0.4	8.8	1688679780712
2.0	-0.5	8.8	1688679780732
2.3	-0.5	9.0	1688679780752
2.2	-0.4	9.0	1688679780772
2.4	-0.8	8.8	1688679780792
2.5	-0.4	9.0	1688679780812
2.5	-0.7	9.0	1688679780832
2.4	-0.9	9.1	1688679780852
2.5	-0.9	9.1	1688679780872
2.6	-0.8	9.2	1688679780892
2.5	-0.8	9.3	1688679780912
2.6	-0.9	9.1	1688679780932
2.5	-0.6	9.3	1688679780952
2.7	-0.8	9.1	1688679780972
2.7	-0.6	8.8	1688679780992
2.5	-0.4	9.0	1688679781012
2.4	-0.2	9.1	1688679781032
2.4	-0.4	8.9	1688679781052
2.7	-0.5	8.5	1688679781072
2.6	-0.7	8.5	1688679781092
2.6	-0.6	8.7	1688679781112
2.6	-0.7	8.5	1688679781132
2.9	-0.7	8.4	1688679781152
2.5	-1.0	8.7	1688679781172
2.5	-0.9	8.5	1688679781192
2.5	-1.1	8.3	1688679781212
2.6	-0.9	8.7	1688679781232
2.5	-1.0	8.6	1688679781252
2.9	-1.5	8.6	1688679781272
2.5	-1.4	8.7	1688679781292
2.5	-1.3	9.2	1688679781312
2.8	-1.4	9.3	1688679781332
3.1	-1.9	8.7	1688679781352
3.1	-1.5	8.9	1688679781372
3.2	-1.3	8.9	1688679781392
3.5	-1.6	8.9	1688679781412
3.6	-1.2	8.9	1688679781432
3.8	-1.6	8.6	1688679781452
3.9	-1.1	8.6	1688679781472
4.1	-1.2	8.6	1688679781492
4.1	-1.3	8.2	1688679781512
4.2	-0.9	8.9	1688679781532
4.1	-1.6	8.3	1688679781552
4.4	-0.5	8.0	1688679781572
4.3	-0.8	8.4	1688679781592
4.8	-0.6	8.4	1688679781612
4.3	-0.4	8.2	1688679781632
3.6	-0.7	8.4	1688679781652
4.3	-2.4	8.8	1688679781672
3.9	-2.2	8.4	1688679781692
4.3	-2.7	6.7	1688679781712
4.8	-1.6	6.5	1688679781732
4.7	-0.1	7.1	1688679781752
6.7	1.8	9.1	1688679781772
7.7	-0.0	8.3	1688679781792
5.4	-0.3	6.0	1688679781812
7.1	-0.2	6.0	1688679781832
6.7	3.1	7.3	1688679781852
5.1	3.3	6.3	1688679781872
5.7	2.8	4.6	1688679781892
4.6	1.6	4.3	1688679781912
4.7	0.7	4.9	1688679781932
4.6	0.7	4.6	1688679781952
4.9	0.3	4.7	1688679781972
5.8	-0.6	4.4	1688679781992
6.3	-2.1	4.2	1688679782012
7.2	-2.0	3.5	1688679782032
