x	y	z	timestamp
4.1	4.6	7.3	1688662577186
3.7	3.8	5.6	1688662577206
4.7	4.0	6.1	1688662577226
3.4	5.5	7.5	1688662577246
3.7	4.9	7.0	1688662577266
4.3	4.3	7.2	1688662577286
4.3	4.1	7.3	1688662577306
4.4	4.2	7.3	1688662577326
4.4	4.1	7.3	1688662577346
4.5	4.1	7.3	1688662577366
4.1	4.0	7.2	1688662577386
4.3	3.7	7.2	1688662577406
4.3	4.3	7.2	1688662577426
4.3	4.1	7.3	1688662577446
4.4	4.2	7.3	1688662577466
4.4	4.1	7.3	1688662577486
4.5	4.1	7.3	1688662577506
4.1	4.0	7.2	1688662577526
4.3	3.7	7.2	1688662577546
4.3	4.3	7.2	1688662577566
4.3	4.1	7.3	1688662577586
4.4	4.2	7.3	1688662577606
4.4	4.1	7.3	1688662577626
4.5	4.1	7.3	1688662577646
4.1	4.0	7.2	1688662577666
4.3	3.7	7.2	1688662577686
4.0	0.6	4.0	1688662577706
4.0	0.9	3.8	1688662577726
5.1	1.8	4.5	1688662577746
5.2	2.5	4.9	1688662577766
5.0	1.8	4.3	1688662577786
4.1	0.7	3.3	1688662577806
4.7	-1.6	4.0	1688662577826
5.8	-1.2	5.5	1688662577846
5.8	0.7	6.6	1688662577866
5.9	1.1	5.9	1688662577886
5.3	0.7	4.9	1688662577906
5.8	-0.2	4.4	1688662577926
6.0	-1.5	4.9	1688662577946
7.7	-1.8	6.0	1688662577966
7.2	-0.8	6.4	1688662577986
6.9	-0.3	5.2	1688662578006
6.6	-0.4	5.0	1688662578026
6.6	-0.8	4.5	1688662578046
6.7	-0.9	4.6	1688662578066
6.6	-1.0	3.9	1688662578086
6.5	-1.8	3.0	1688662578106
6.4	-1.7	3.4	1688662578126
7.8	-1.0	3.1	1688662578146
7.7	-1.0	2.6	1688662578166
8.8	-2.1	2.6	1688662578186
9.9	-2.2	3.5	1688662578206
10.3	-0.2	4.8	1688662578226
10.3	-0.7	4.4	1688662578246
10.0	-0.5	3.9	1688662578266
10.0	0.4	3.3	1688662578286
9.7	-0.5	3.0	1688662578306
9.9	-1.0	3.9	1688662578326
9.9	-0.8	3.8	1688662578346
9.9	-0.7	3.6	1688662578366
9.4	-0.8	3.5	1688662578386
9.0	-0.6	3.5	1688662578406
9.3	-1.2	3.3	1688662578426
9.7	-2.5	2.8	1688662578446
10.2	-2.2	3.2	1688662578466
10.6	-1.5	2.9	1688662578486
11.0	-1.8	2.7	1688662578506
11.3	-2.4	2.9	1688662578526
11.5	-2.9	3.3	1688662578546
12.4	-3.3	4.4	1688662578566
12.7	-2.7	5.0	1688662578586
12.0	-2.3	4.2	1688662578606
11.2	-2.7	4.6	1688662578626
10.9	-3.0	4.9	1688662578646
10.7	-2.4	4.7	1688662578666
9.8	-3.5	4.4	1688662578686
10.1	-3.6	4.2	1688662578706
10.1	-3.1	4.1	1688662578726
10.3	-3.2	4.1	1688662578746
10.8	-3.6	3.4	1688662578766
11.8	-4.4	2.6	1688662578786
11.8	-3.4	2.5	1688662578806
11.1	-3.8	1.9	1688662578826
11.1	-3.4	2.8	1688662578846
11.3	-2.9	3.2	1688662578866
10.9	-2.1	2.6	1688662578886
11.0	1.5	3.7	1688662578906
9.7	3.1	4.3	1688662578926
8.8	0.2	3.3	1688662578946
8.9	-1.6	2.8	1688662578966
9.1	-1.3	3.2	1688662578986
8.9	-1.6	4.4	1688662579006
8.6	-1.6	4.3	1688662579026
11.8	-1.1	4.0	1688662579046
9.5	-2.2	5.2	1688662579066
10.1	-1.4	3.8	1688662579086
11.1	0.3	3.1	1688662579106
11.7	2.2	2.5	1688662579126
12.0	4.0	1.3	1688662579146
12.0	7.1	-1.8	1688662579166
14.6	5.0	0.4	1688662579186
12.8	3.0	-10.9	1688662579206
17.4	-10.3	-4.8	1688662579226
17.4	-16.9	-3.5	1688662579246
12.0	-3.8	-2.2	1688662579266
10.7	2.0	-1.6	1688662579286
12.9	-6.4	-6.5	1688662579306
14.4	-2.7	-5.5	1688662579326
13.7	-0.3	-3.1	1688662579346
13.9	-3.9	-3.4	1688662579366
13.8	-4.4	-4.4	1688662579386
12.2	-4.6	-3.8	1688662579406
13.9	-0.8	-0.3	1688662579426
12.5	-2.6	-1.3	1688662579446
11.8	-4.6	-2.9	1688662579466
11.4	-4.2	-3.8	1688662579486
11.6	-2.3	-3.1	1688662579506
9.5	-2.7	-1.1	1688662579526
9.7	-2.6	-1.4	1688662579546
10.0	-1.8	-3.2	1688662579566
9.7	-2.5	-3.8	1688662579586
8.7	-2.0	-3.2	1688662579606
7.9	-2.0	-2.3	1688662579626
7.4	-1.6	-2.0	1688662579646
7.2	-1.2	-1.6	1688662579666
7.0	-1.3	-2.3	1688662579686
6.8	-1.2	-3.0	1688662579706
6.3	-1.3	-3.0	1688662579726
5.8	-2.3	-2.7	1688662579746
5.8	-2.3	-1.8	1688662579766
5.9	-1.7	-2.3	1688662579786
5.7	-2.3	-2.5	1688662579806
5.2	-2.5	-2.1	1688662579826
5.2	-4.1	-1.6	1688662579846
4.7	-3.7	-1.0	1688662579866
4.1	-2.6	-1.7	1688662579886
4.2	-4.7	-2.6	1688662579906
4.7	-5.8	-3.3	1688662579926
4.5	-4.8	-3.1	1688662579946
4.0	-3.5	-3.3	1688662579966
3.0	-3.6	-3.3	1688662579986
3.4	-4.3	-3.8	1688662580006
3.9	-4.0	-3.8	1688662580026
3.8	-3.9	-4.0	1688662580046
3.8	-4.1	-3.0	1688662580066
4.4	-4.2	-3.0	1688662580086
5.6	-4.3	-5.1	1688662580106
7.0	-4.1	-7.9	1688662580126
7.6	-3.4	-7.4	1688662580146
6.8	-3.4	-5.4	1688662580166
6.9	-4.6	-5.1	1688662580186
7.4	-4.2	-5.3	1688662580206
7.4	-2.2	-6.8	1688662580226
7.9	-3.1	-7.6	1688662580246
8.2	-2.9	-6.4	1688662580266
7.8	-3.0	-5.9	1688662580286
8.3	-2.5	-6.2	1688662580306
8.6	-2.7	-6.3	1688662580326
9.2	-2.5	-7.0	1688662580346
9.1	-2.0	-6.3	1688662580366
9.5	-2.4	-5.5	1688662580386
9.7	-2.8	-5.6	1688662580406
10.2	-2.6	-5.5	1688662580426
9.9	-2.0	-5.4	1688662580446
9.6	-2.6	-5.0	1688662580466
9.6	-2.7	-4.9	1688662580486
9.5	-2.7	-5.1	1688662580506
9.3	-2.8	-5.7	1688662580526
9.4	-2.8	-5.2	1688662580546
9.1	-3.0	-4.8	1688662580566
9.1	-2.7	-4.5	1688662580586
9.1	-3.0	-4.8	1688662580606
9.1	-2.6	-4.8	1688662580626
9.0	-2.4	-5.0	1688662580646
8.9	-2.5	-4.5	1688662580666
9.0	-2.6	-4.0	1688662580686
8.9	-2.7	-4.3	1688662580706
9.1	-2.5	-4.3	1688662580726
8.9	-2.3	-4.2	1688662580746
9.1	-1.9	-4.0	1688662580766
9.3	-2.1	-3.5	1688662580786
9.1	-1.9	-3.6	1688662580806
9.0	-1.9	-3.6	1688662580826
9.1	-2.3	-3.9	1688662580846
9.0	-2.6	-3.5	1688662580866
8.8	-2.5	-3.0	1688662580886
8.7	-3.0	-3.3	1688662580906
9.4	-2.3	-3.4	1688662580926
9.4	-2.5	-3.8	1688662580946
9.9	-2.6	-3.4	1688662580966
10.0	-2.7	-3.1	1688662580986
9.7	-2.7	-3.1	1688662581006
9.5	-2.4	-3.3	1688662581026
9.4	-2.4	-3.5	1688662581046
9.5	-2.4	-3.2	1688662581066
9.7	-2.5	-3.1	1688662581086
9.7	-2.1	-3.3	1688662581106
9.5	-2.4	-3.3	1688662581126
9.6	-2.3	-3.3	1688662581146
9.3	-2.3	-3.4	1688662581166
9.3	-2.2	-3.3	1688662581186
9.3	-2.5	-3.4	1688662581206
9.4	-2.5	-3.4	1688662581226
9.1	-2.5	-3.7	1688662581246
8.9	-2.4	-3.5	1688662581266
8.8	-2.6	-3.4	1688662581286
8.8	-2.5	-3.5	1688662581306
8.9	-2.1	-3.6	1688662581326
9.3	-2.5	-3.4	1688662581346
9.4	-2.5	-3.4	1688662581366
9.1	-2.5	-3.7	1688662581386
8.9	-2.4	-3.5	1688662581406
8.8	-2.6	-3.4	1688662581426
8.8	-2.5	-3.5	1688662581446
8.9	-2.1	-3.6	1688662581466
9.0	-2.5	-3.4	1688662581486
9.1	-2.6	-3.6	1688662581506
9.0	-2.4	-3.7	1688662581526
9.0	-2.4	-3.5	1688662581546
9.1	-2.3	-3.6	1688662581566
9.0	-2.4	-3.6	1688662581586
9.0	-2.5	-3.4	1688662581606
9.0	-2.5	-3.5	1688662581626
9.0	-2.3	-3.5	1688662581646
9.4	-2.7	-3.6	1688662581666
9.3	-2.4	-3.5	1688662581686
9.3	-2.4	-3.3	1688662581706
9.1	-2.4	-3.4	1688662581726
9.2	-2.4	-3.4	1688662581746
9.2	-2.5	-3.3	1688662581766
9.2	-2.4	-3.4	1688662581786
9.1	-2.4	-3.3	1688662581806
9.1	-2.3	-3.3	1688662581826
9.3	-2.5	-3.2	1688662581846
9.1	-2.4	-3.1	1688662581866
9.3	-2.4	-3.0	1688662581886
9.4	-2.0	-3.0	1688662581906
9.5	-2.3	-3.2	1688662581926
9.3	-2.5	-3.2	1688662581946
9.3	-2.3	-3.4	1688662581966
9.3	-2.5	-3.3	1688662581986
9.3	-2.6	-4.0	1688662582006
9.3	-2.5	-4.4	1688662582026
9.1	-2.7	-4.6	1688662582046
9.3	-2.9	-4.7	1688662582066
9.6	-3.5	-6.5	1688662582086
10.0	-3.0	-6.1	1688662582106
9.3	-2.5	-4.8	1688662582126
8.9	-3.7	-7.3	1688662582146
9.2	-3.3	-9.7	1688662582166
8.4	-4.0	-11.1	1688662582186
7.3	-4.1	-9.5	1688662582206
6.4	-4.2	-11.1	1688662582226
7.5	-5.4	-12.3	1688662582246
7.8	-4.8	-12.7	1688662582266
8.1	-5.3	-12.9	1688662582286
8.1	-5.9	-12.0	1688662582306
8.3	-5.2	-13.2	1688662582326
8.6	-6.0	-13.8	1688662582346
8.6	-5.1	-13.8	1688662582366
8.0	-4.8	-13.6	1688662582386
7.7	-4.1	-13.4	1688662582406
7.2	-4.3	-14.2	1688662582426
7.0	-4.6	-13.3	1688662582446
5.8	-4.7	-13.6	1688662582466
5.5	-4.5	-12.7	1688662582486
4.8	-5.2	-11.6	1688662582506
2.9	-3.5	-10.0	1688662582526
2.0	-3.3	-9.7	1688662582546
1.9	-4.2	-9.8	1688662582566
1.2	-3.1	-7.9	1688662582586
-0.1	-2.1	-6.8	1688662582606
-0.5	-2.8	-6.5	1688662582626
-1.1	-2.6	-5.7	1688662582646
-1.4	-1.0	-4.7	1688662582666
-2.0	-0.9	-3.5	1688662582686
-2.9	-1.3	-2.8	1688662582706
-3.0	-0.7	-2.4	1688662582726
-3.1	0.5	-1.2	1688662582746
-3.8	-0.9	-0.7	1688662582766
-4.4	-0.9	0.1	1688662582786
-4.9	1.2	1.1	1688662582806
-6.6	-0.4	2.9	1688662582826
-7.6	-0.8	4.2	1688662582846
-7.1	-0.4	5.4	1688662582866
-6.9	0.2	7.1	1688662582886
-6.7	-0.5	9.1	1688662582906
-6.6	0.8	10.9	1688662582926
-6.8	-1.0	10.7	1688662582946
-7.0	-0.7	9.1	1688662582966
-7.3	-0.6	7.0	1688662582986
-7.2	-0.8	5.8	1688662583006
-7.1	-0.4	5.2	1688662583026
-6.6	-0.0	3.6	1688662583046
-6.2	0.1	2.5	1688662583066
-5.9	0.3	1.8	1688662583086
-5.7	0.4	1.1	1688662583106
-5.3	-0.1	0.5	1688662583126
-4.8	0.2	-0.3	1688662583146
-4.4	0.2	-1.1	1688662583166
-3.7	-0.2	-1.8	1688662583186
-3.4	-0.7	-1.8	1688662583206
-3.4	-1.0	-0.9	1688662583226
-3.1	-1.4	-1.9	1688662583246
-1.6	-0.8	-5.2	1688662583266
0.1	-1.6	-6.1	1688662583286
0.5	-3.2	-4.6	1688662583306
0.8	-3.2	-5.5	1688662583326
2.9	-3.1	-11.3	1688662583346
5.6	-4.0	-12.1	1688662583366
6.0	-5.0	-11.8	1688662583386
6.3	-4.6	-9.5	1688662583406
6.7	-5.1	-12.4	1688662583426
8.9	-6.2	-13.3	1688662583446
9.5	-5.7	-13.7	1688662583466
10.2	-6.2	-13.0	1688662583486
10.0	-5.7	-11.1	1688662583506
10.2	-6.6	-9.9	1688662583526
10.8	-5.3	-11.0	1688662583546
12.0	-6.1	-11.2	1688662583566
11.6	-4.8	-11.3	1688662583586
11.8	-5.5	-11.2	1688662583606
12.1	-5.2	-10.2	1688662583626
11.8	-5.1	-10.4	1688662583646
11.4	-4.1	-10.7	1688662583666
9.8	-4.4	-10.0	1688662583686
9.2	-4.9	-10.2	1688662583706
8.3	-4.9	-10.5	1688662583726
7.8	-5.8	-13.4	1688662583746
7.0	-6.8	-14.9	1688662583766
6.1	-8.1	-14.3	1688662583786
6.4	-6.4	-11.2	1688662583806
6.6	-7.1	-14.3	1688662583826
6.6	-7.3	-15.7	1688662583846
7.7	-5.9	-15.4	1688662583866
8.5	-5.5	-13.5	1688662583886
9.3	-5.4	-14.2	1688662583906
10.9	-5.2	-15.1	1688662583926
12.0	-4.7	-15.2	1688662583946
12.3	-4.0	-15.3	1688662583966
12.2	-5.4	-16.0	1688662583986
11.9	-5.5	-15.2	1688662584006
11.1	-5.1	-15.3	1688662584026
9.9	-6.4	-14.8	1688662584046
9.5	-4.7	-13.4	1688662584066
7.3	-4.8	-13.0	1688662584086
7.5	-4.7	-13.1	1688662584106
7.0	-2.9	-12.8	1688662584126
6.6	-4.2	-12.0	1688662584146
4.3	-3.9	-10.2	1688662584166
3.7	-2.3	-9.7	1688662584186
2.7	-2.9	-10.0	1688662584206
2.6	-2.9	-7.4	1688662584226
0.7	-0.9	-6.2	1688662584246
0.2	-1.9	-5.9	1688662584266
-0.2	-1.2	-5.2	1688662584286
-0.3	-0.7	-3.5	1688662584306
-1.7	-1.0	-2.5	1688662584326
-1.9	-1.1	-1.9	1688662584346
-1.6	-0.0	-1.4	1688662584366
-2.1	-0.4	-0.3	1688662584386
-3.0	-0.8	-0.1	1688662584406
-3.0	0.5	1.2	1688662584426
-4.0	-0.7	2.0	1688662584446
-4.7	-1.2	2.5	1688662584466
-4.8	0.9	3.4	1688662584486
-5.4	0.5	5.5	1688662584506
-7.7	-1.1	7.0	1688662584526
-7.7	0.4	8.6	1688662584546
-7.2	1.6	11.9	1688662584566
-5.2	2.0	16.6	1688662584586
-5.1	-2.4	11.6	1688662584606
-8.1	-1.1	11.5	1688662584626
-7.1	-3.0	10.3	1688662584646
