x	y	z	timestamp
2.9	4.8	7.4	1688894800826
2.9	4.9	7.6	1688894800846
2.9	4.5	7.5	1688894800866
3.3	3.8	7.5	1688894800886
3.0	4.1	7.5	1688894800906
3.7	4.8	7.4	1688894800926
3.6	5.0	7.3	1688894800946
3.5	5.3	7.5	1688894800966
3.6	5.2	7.6	1688894800986
3.7	4.9	7.5	1688894801006
3.7	5.1	7.5	1688894801026
3.6	5.4	7.3	1688894801046
3.7	4.8	7.4	1688894801066
3.6	5.0	7.3	1688894801086
3.5	5.3	7.5	1688894801106
3.6	5.2	7.6	1688894801126
3.7	4.9	7.5	1688894801146
3.7	5.1	7.5	1688894801166
3.6	5.4	7.3	1688894801186
3.6	5.3	7.3	1688894801206
3.4	4.7	7.4	1688894801226
3.3	4.8	7.5	1688894801246
3.4	4.7	7.5	1688894801266
3.3	4.7	7.5	1688894801286
3.2	4.3	7.6	1688894801306
3.3	4.5	7.5	1688894801326
3.4	4.4	7.5	1688894801346
3.3	4.2	7.4	1688894801366
3.3	4.1	7.5	1688894801386
3.2	4.4	7.6	1688894801406
3.3	4.2	7.3	1688894801426
2.9	4.4	7.4	1688894801446
3.0	4.8	7.7	1688894801466
3.2	4.8	7.8	1688894801486
3.0	4.7	7.8	1688894801506
2.9	4.7	7.9	1688894801526
3.0	4.7	7.7	1688894801546
3.1	4.8	7.6	1688894801566
2.0	4.6	6.7	1688894801586
2.4	4.5	6.9	1688894801606
2.7	5.0	7.4	1688894801626
2.8	5.4	7.7	1688894801646
4.6	5.2	7.8	1688894801666
3.3	4.0	7.1	1688894801686
2.9	4.8	7.7	1688894801706
3.9	4.8	7.9	1688894801726
3.2	4.9	7.8	1688894801746
3.3	4.8	7.7	1688894801766
3.3	4.7	7.7	1688894801786
3.3	4.6	7.6	1688894801806
3.3	4.4	7.6	1688894801826
3.1	4.3	7.5	1688894801846
3.1	4.4	7.6	1688894801866
3.0	4.7	7.7	1688894801886
2.8	4.6	7.8	1688894801906
3.1	4.6	7.8	1688894801926
3.3	4.4	7.8	1688894801946
2.9	4.3	7.9	1688894801966
2.9	4.6	7.9	1688894801986
3.0	4.7	7.7	1688894802006
2.9	4.8	7.5	1688894802026
2.8	4.6	7.7	1688894802046
2.9	4.3	7.6	1688894802066
3.1	4.3	7.6	1688894802086
2.9	4.4	7.5	1688894802106
2.8	4.6	7.6	1688894802126
3.1	4.5	7.6	1688894802146
3.2	4.4	7.6	1688894802166
3.1	4.6	7.9	1688894802186
3.2	4.4	7.4	1688894802206
3.5	4.3	7.5	1688894802226
3.5	4.5	7.5	1688894802246
3.3	5.0	7.4	1688894802266
3.5	5.2	7.2	1688894802286
3.5	5.0	7.0	1688894802306
3.6	5.0	7.5	1688894802326
3.8	4.9	7.6	1688894802346
3.9	5.2	7.7	1688894802366
3.8	5.3	7.6	1688894802386
3.8	5.4	7.6	1688894802406
3.9	5.4	7.4	1688894802426
4.0	5.4	7.2	1688894802446
4.2	5.5	7.2	1688894802466
4.1	5.4	7.1	1688894802486
4.0	5.7	7.1	1688894802506
3.9	5.7	7.1	1688894802526
3.9	5.7	7.1	1688894802546
3.8	5.5	7.1	1688894802566
3.7	5.4	6.8	1688894802586
3.6	5.4	6.7	1688894802606
3.7	5.0	6.7	1688894802626
3.4	4.7	6.6	1688894802646
3.6	4.8	6.5	1688894802666
3.6	5.0	6.7	1688894802686
3.3	5.2	6.9	1688894802706
3.3	5.2	6.8	1688894802726
3.4	5.1	6.7	1688894802746
3.5	5.1	6.7	1688894802766
3.5	5.2	6.8	1688894802786
3.5	5.2	6.9	1688894802806
3.8	5.2	6.8	1688894802826
3.8	5.8	6.6	1688894802846
