x	y	z	timestamp
2.9	5.4	7.1	1688891637448
2.5	4.7	7.5	1688891637468
2.3	4.8	7.2	1688891637488
2.8	5.2	7.2	1688891637508
2.7	6.0	7.3	1688891637528
2.5	6.5	7.3	1688891637548
2.7	5.8	7.1	1688891637568
2.6	5.4	7.2	1688891637588
2.5	4.7	7.5	1688891637608
2.3	4.8	7.2	1688891637628
2.8	5.2	7.2	1688891637648
2.7	6.0	7.3	1688891637668
2.5	6.5	7.3	1688891637688
2.7	5.8	7.1	1688891637708
2.6	5.4	7.2	1688891637728
2.5	4.7	7.5	1688891637748
2.3	4.8	7.2	1688891637768
2.8	5.2	7.2	1688891637788
2.7	6.0	7.3	1688891637808
2.5	6.5	7.3	1688891637828
2.7	5.8	7.1	1688891637848
2.6	5.4	7.2	1688891637868
2.5	5.2	7.0	1688891637888
2.2	5.7	7.2	1688891637908
2.1	5.7	7.1	1688891637928
2.4	5.7	7.0	1688891637948
2.0	4.6	7.3	1688891637968
2.4	4.7	7.7	1688891637988
2.1	5.3	7.9	1688891638008
2.5	5.2	7.0	1688891638028
2.2	5.7	7.2	1688891638048
2.1	5.7	7.1	1688891638068
2.4	5.7	7.0	1688891638088
2.0	4.6	7.3	1688891638108
2.4	4.7	7.7	1688891638128
2.1	5.3	7.9	1688891638148
1.6	5.9	7.5	1688891638168
1.1	6.0	7.1	1688891638188
0.9	6.2	7.0	1688891638208
0.1	6.9	7.4	1688891638228
0.9	6.6	7.0	1688891638248
0.8	7.1	5.9	1688891638268
-2.0	5.5	5.1	1688891638288
-0.6	5.0	6.6	1688891638308
3.4	4.6	7.7	1688891638328
-0.3	4.0	8.2	1688891638348
-0.0	4.6	8.8	1688891638368
1.1	4.2	9.4	1688891638388
3.6	4.7	9.4	1688891638408
4.2	4.1	8.7	1688891638428
6.1	4.5	8.9	1688891638448
4.1	4.3	9.2	1688891638468
2.1	4.4	8.4	1688891638488
3.4	4.9	8.1	1688891638508
2.9	5.2	7.8	1688891638528
2.5	4.9	7.6	1688891638548
2.5	4.1	7.4	1688891638568
2.6	5.0	7.5	1688891638588
1.3	4.8	7.3	1688891638608
1.4	5.3	7.4	1688891638628
1.8	4.7	7.5	1688891638648
1.3	4.6	7.6	1688891638668
1.3	4.8	7.6	1688891638688
1.4	4.8	7.5	1688891638708
1.6	5.1	7.9	1688891638728
1.4	5.0	8.0	1688891638748
1.6	4.9	8.1	1688891638768
1.5	4.8	8.1	1688891638788
2.0	5.0	7.9	1688891638808
1.8	4.8	8.0	1688891638828
1.9	5.2	8.1	1688891638848
1.5	5.0	8.2	1688891638868
1.9	4.9	8.1	1688891638888
2.0	5.0	7.9	1688891638908
1.8	5.6	7.8	1688891638928
2.0	5.3	8.0	1688891638948
1.8	3.8	5.9	1688891638968
0.6	4.8	7.8	1688891638988
2.7	5.0	8.0	1688891639008
2.9	4.2	7.7	1688891639028
2.7	3.3	7.8	1688891639048
2.8	2.6	7.9	1688891639068
2.9	2.5	7.9	1688891639088
3.6	2.8	8.2	1688891639108
3.8	2.7	8.4	1688891639128
3.4	2.6	8.3	1688891639148
3.2	2.4	8.4	1688891639168
3.4	2.7	8.4	1688891639188
3.6	3.0	8.4	1688891639208
3.7	2.7	8.4	1688891639228
3.7	2.6	8.4	1688891639248
3.5	2.6	8.5	1688891639268
3.4	2.8	8.4	1688891639288
3.2	2.7	8.4	1688891639308
3.6	2.4	8.4	1688891639328
3.4	2.3	8.3	1688891639348
3.4	2.2	8.4	1688891639368
3.3	2.4	8.6	1688891639388
3.1	2.3	8.6	1688891639408
3.2	2.6	8.8	1688891639428
3.5	2.3	8.7	1688891639448
3.1	2.2	8.6	1688891639468
3.1	2.0	8.4	1688891639488
3.3	2.1	8.7	1688891639508
3.1	2.5	8.8	1688891639528
3.1	2.4	8.9	1688891639548
3.0	2.3	8.8	1688891639568
3.1	1.9	8.8	1688891639588
2.9	1.9	8.7	1688891639608
2.9	2.2	8.6	1688891639628
2.7	1.9	8.6	1688891639648
2.8	2.0	8.8	1688891639668
2.6	2.1	9.1	1688891639688
2.5	1.9	8.8	1688891639708
2.4	1.7	8.7	1688891639728
2.3	1.7	8.6	1688891639748
2.3	2.0	8.6	1688891639768
2.3	1.8	8.7	1688891639788
2.0	1.8	8.7	1688891639808
2.2	1.5	8.6	1688891639828
2.3	1.6	8.4	1688891639848
2.0	1.6	8.4	1688891639868
2.0	1.5	8.7	1688891639888
2.0	1.3	8.8	1688891639908
1.9	1.5	8.7	1688891639928
1.7	1.2	8.7	1688891639948
1.8	0.9	9.1	1688891639968
2.0	0.9	9.4	1688891639988
2.1	0.9	9.4	1688891640008
1.9	1.0	9.3	1688891640028
2.2	1.0	9.2	1688891640048
2.2	0.5	9.2	1688891640068
2.4	0.4	9.3	1688891640088
2.1	0.7	9.3	1688891640108
2.3	0.9	9.3	1688891640128
2.4	1.0	8.9	1688891640148
2.5	0.8	8.6	1688891640168
2.6	0.9	8.3	1688891640188
2.4	0.7	8.3	1688891640208
2.3	1.1	8.4	1688891640228
2.6	1.3	8.7	1688891640248
2.5	1.3	8.5	1688891640268
2.7	1.1	7.8	1688891640288
2.8	1.1	7.3	1688891640308
2.7	1.3	7.2	1688891640328
2.9	0.8	7.2	1688891640348
3.3	0.8	6.9	1688891640368
3.2	1.0	6.4	1688891640388
3.3	1.3	5.7	1688891640408
3.4	1.5	5.3	1688891640428
3.5	1.6	4.8	1688891640448
3.5	0.8	4.3	1688891640468
4.3	-2.7	5.5	1688891640488
7.5	-3.4	6.1	1688891640508
7.1	-1.4	5.2	1688891640528
6.1	-1.3	4.6	1688891640548
7.3	-1.5	4.8	1688891640568
8.6	-2.5	5.0	1688891640588
9.3	-2.7	4.8	1688891640608
9.8	-3.0	3.6	1688891640628
10.1	-4.5	2.4	1688891640648
10.6	-6.3	0.6	1688891640668
12.5	-5.0	2.5	1688891640688
13.2	-3.3	3.4	1688891640708
13.7	-2.4	3.2	1688891640728
14.2	-2.6	2.7	1688891640748
16.0	-4.4	2.1	1688891640768
16.4	-7.4	3.0	1688891640788
15.8	-7.8	4.4	1688891640808
14.5	-7.2	4.3	1688891640828
12.6	-5.4	1.5	1688891640848
11.7	-4.7	0.6	1688891640868
12.1	-5.7	2.1	1688891640888
12.3	-6.8	2.6	1688891640908
10.3	-5.9	3.1	1688891640928
9.2	-3.9	4.0	1688891640948
9.9	-0.5	7.4	1688891640968
11.1	1.0	8.8	1688891640988
9.5	-0.2	6.5	1688891641008
8.0	-1.5	5.2	1688891641028
7.8	-3.7	4.5	1688891641048
7.8	-5.4	3.8	1688891641068
7.9	-5.3	3.0	1688891641088
8.0	-4.8	2.3	1688891641108
8.8	-4.7	0.5	1688891641128
9.8	-4.3	-1.8	1688891641148
10.2	-1.4	-3.5	1688891641168
11.2	0.6	-4.1	1688891641188
12.5	0.5	-4.9	1688891641208
12.6	1.2	-4.1	1688891641228
12.2	3.7	-3.7	1688891641248
10.8	5.9	-1.6	1688891641268
9.7	5.6	2.4	1688891641288
9.7	5.1	4.8	1688891641308
9.6	3.5	3.6	1688891641328
11.2	1.1	2.4	1688891641348
13.3	-1.2	1.1	1688891641368
13.8	-1.7	0.2	1688891641388
12.7	0.5	1.1	1688891641408
10.8	2.6	-2.4	1688891641428
9.9	2.4	-5.2	1688891641448
12.3	8.1	-3.1	1688891641468
9.9	7.8	-1.5	1688891641488
11.0	5.2	-1.1	1688891641508
9.4	-0.1	-1.8	1688891641528
9.9	0.7	-2.1	1688891641548
10.2	0.9	-3.9	1688891641568
9.1	0.2	-4.1	1688891641588
8.5	-2.1	-2.9	1688891641608
7.8	-3.6	-2.9	1688891641628
7.4	-3.2	-2.3	1688891641648
8.0	-4.6	-1.4	1688891641668
6.5	-7.7	0.1	1688891641688
6.7	-6.7	1.0	1688891641708
8.7	-5.0	-1.6	1688891641728
12.2	-7.2	-1.8	1688891641748
14.1	-8.4	2.5	1688891641768
15.7	-6.2	1.8	1688891641788
8.0	-4.6	-1.4	1688891641808
6.5	-7.7	0.1	1688891641828
6.7	-6.7	1.0	1688891641848
8.7	-5.0	-1.6	1688891641868
12.2	-7.2	-1.8	1688891641888
14.1	-8.4	2.5	1688891641908
15.7	-6.2	1.8	1688891641928
15.7	-1.8	0.3	1688891641948
15.6	1.8	1.2	1688891641968
15.9	4.3	2.7	1688891641988
16.1	5.4	3.1	1688891642008
15.8	4.4	1.0	1688891642028
15.8	2.4	1.3	1688891642048
15.0	1.0	1.2	1688891642068
14.5	2.0	2.3	1688891642088
14.2	3.1	2.5	1688891642108
13.4	-0.2	-0.1	1688891642128
14.4	4.2	-2.8	1688891642148
12.9	5.6	-2.5	1688891642168
11.0	2.8	-3.3	1688891642188
10.4	4.2	-2.4	1688891642208
9.7	4.2	1.0	1688891642228
9.0	2.9	0.9	1688891642248
9.8	2.2	0.3	1688891642268
10.1	1.6	-2.0	1688891642288
10.0	-0.3	-3.1	1688891642308
